iter	RMSE
0	2.419551785
1	2.40914084
2	2.397861495
3	2.387548167
4	2.377292074
5	2.367799463
6	2.358887833
7	2.352538997
8	2.346516153
9	2.339415226
10	2.334281271
11	2.328151477
12	2.321468287
13	2.316156688
14	2.312706587
15	2.30785242
16	2.30361345
17	2.29966356
18	2.295465491
19	2.29210001
20	2.288330004
21	2.284589891
22	2.28102953
23	2.277504972
24	2.275478289
25	2.27235856
26	2.269512265
27	2.267864734
28	2.266099589
29	2.2642747
30	2.262159505
31	2.259237918
32	2.257375332
33	2.255538304
34	2.254183783
35	2.251875924
36	2.249808496
37	2.247599248
38	2.245869652
39	2.244641466
40	2.242994058
41	2.240935822
42	2.239287849
43	2.238052182
44	2.236794771
45	2.235742592
46	2.234551574
47	2.233111343
48	2.232146413
49	2.231064877
50	2.229937596
51	2.229563803
52	2.228527635
53	2.227556147
54	2.226299099
55	2.225724369
56	2.225326295
57	2.224290214
58	2.223581665
59	2.222856852
60	2.22230117
61	2.221909704
62	2.221200854
63	2.220448887
64	2.21989742
65	2.219431526
66	2.218662661
67	2.217952659
68	2.217261264
69	2.216564944
70	2.216099843
71	2.215129687
72	2.214522736
73	2.21397842
74	2.213629886
75	2.212925058
76	2.212720218
77	2.212231172
78	2.211653246
79	2.211170989
80	2.210780777
81	2.210396256
82	2.210047963
83	2.20978328
84	2.209452755
85	2.208994111
86	2.208569846
87	2.208134083
88	2.207821305
89	2.207580809
90	2.207032704
91	2.206615563
92	2.206215888
93	2.206043093
94	2.205833111
95	2.205558223
96	2.20520501
97	2.204862827
98	2.204640143
99	2.204422634
100	2.204230752
101	2.203951274
102	2.203652693
103	2.203549382
104	2.203319862
105	2.203108812
106	2.202877858
107	2.202713472
108	2.202510456
109	2.202305804
110	2.201951375
111	2.201573524
112	2.201323322
113	2.201077373
114	2.200847017
115	2.200716382
116	2.200512488
117	2.20023601
118	2.200097121
119	2.199958339
120	2.199834713
121	2.199604689
122	2.199549929
123	2.199368505
124	2.199109021
125	2.198926981
126	2.198618105
127	2.198471933
128	2.198300382
129	2.19806707
130	2.197914836
131	2.197672677
132	2.1975006
133	2.197394914
134	2.197295017
135	2.197131951
136	2.196959021
137	2.196835225
138	2.196721161
139	2.196584832
140	2.196319685
141	2.196191912
142	2.19608767
143	2.196014501
144	2.195869431
145	2.195711362
146	2.195645835
147	2.195478239
148	2.195350184
149	2.195249499
150	2.195169109
151	2.195077348
152	2.195033148
153	2.194969921
154	2.194843577
155	2.194681605
156	2.194507553
157	2.19440474
158	2.194262233
159	2.194117743
160	2.194035571
161	2.193917415
162	2.193797163
163	2.193714282
164	2.193572427
165	2.193466551
166	2.193291706
167	2.193151333
168	2.193133219
169	2.193015362
170	2.192865565
171	2.192793914
172	2.192693343
173	2.192590445
174	2.192515417
175	2.192416808
176	2.19234189
177	2.192219228
178	2.192114217
179	2.192057875
180	2.191951811
181	2.191854338
182	2.191774405
183	2.191676228
184	2.191568285
185	2.191453017
186	2.19133077
187	2.191244194
188	2.191072658
189	2.190952482
190	2.190900528
191	2.190845667
192	2.190784411
193	2.190698859
194	2.190613421
195	2.190527048
196	2.190466365
197	2.19043114
198	2.190343831
199	2.190231521
200	2.190126647
201	2.190030605
202	2.189918511
203	2.189839787
204	2.189778619
205	2.189667327
206	2.189571381
207	2.189475547
208	2.189415183
209	2.189298871
210	2.189243039
211	2.18910671
212	2.189037263
213	2.188945012
214	2.188890101
215	2.188804476
216	2.188707445
217	2.188679405
218	2.188586557
219	2.188526867
220	2.188437969
221	2.188316368
222	2.188195343
223	2.188151702
224	2.188073845
225	2.188033693
226	2.187925804
227	2.187805455
228	2.187746908
229	2.187702211
230	2.187641682
231	2.187600824
232	2.187540409
233	2.187483135
234	2.187410842
235	2.187324693
236	2.187208502
237	2.187101271
238	2.186945945
239	2.186883415
240	2.186769647
241	2.186707345
242	2.186559678
243	2.18650133
244	2.186382999
245	2.186319406
246	2.186242998
247	2.18618732
248	2.186132457
249	2.186061401
250	2.185934543
251	2.18581723
252	2.185685114
253	2.185623481
254	2.185563011
255	2.185432045
256	2.18531016
257	2.185290001
258	2.185194096
259	2.18511963
260	2.185019755
261	2.184936425
262	2.184846215
263	2.184724648
264	2.184643055
265	2.184586171
266	2.184559244
267	2.184493383
268	2.184458178
269	2.184379257
270	2.184336123
271	2.184264542
272	2.184164627
273	2.184100736
274	2.183999532
275	2.183953708
276	2.183879549
277	2.183827777
278	2.183787081
279	2.183632685
280	2.183572393
281	2.18352038
282	2.183470815
283	2.183434777
284	2.183336807
285	2.183214223
286	2.183092098
287	2.182974516
288	2.182890408
289	2.182738749
290	2.182631414
291	2.182574595
292	2.182530842
293	2.182499923
294	2.182447301
295	2.182303079
296	2.182234582
297	2.18217075
298	2.182020092
299	2.181879226
300	2.181784105
301	2.181646843
302	2.181567119
303	2.18147537
304	2.181415368
305	2.181307619
306	2.181224497
307	2.181102611
308	2.181037346
309	2.180970794
310	2.18094569
311	2.18090891
312	2.180824723
313	2.180699194
314	2.180575761
315	2.180470773
